;Lead 1 (square)
R 0 3840
A4 15 226
R 0 14
Gb5 15 239
R 0 1
D5 15 239
R 0 1
Gb5 15 239
R 0 1
A4 15 239
R 0 1
Gb5 15 239
R 0 1
D5 15 239
R 0 1
Gb5 15 239
R 0 1
Db5 15 239
R 0 1
E5 15 239
R 0 1
A4 15 239
R 0 1
E5 15 239
R 0 1
Bb4 15 239
R 0 1
E5 15 239
R 0 1
Db5 15 239
R 0 1
E5 15 239
R 0 1
Bb4 15 239
R 0 1
Gb5 15 239
R 0 1
D5 15 239
R 0 1
Gb5 15 239
R 0 1
Bb4 15 239
R 0 1
Gb5 15 239
R 0 1
D5 15 239
R 0 1
Gb5 15 239
R 0 1
Gb4 15 239
R 0 1
Db5 15 239
R 0 1
Gb4 15 239
R 0 1
Db5 15 239
R 0 1
Ab4 15 239
R 0 1
Db5 15 239
R 0 1
Db4 15 239
R 0 1
Db5 15 239
R 0 1
Bb4 15 239
R 0 1
G5 15 239
R 0 1
D5 15 239
R 0 1
G5 15 239
R 0 1
G4 15 239
R 0 1
G5 15 239
R 0 1
D5 15 239
R 0 1
G5 15 239
R 0 1
D5 15 239
R 0 1
A5 15 239
R 0 1
E5 15 239
R 0 1
A5 15 239
R 0 1
Eb5 15 239
R 0 1
Bb5 15 239
R 0 1
Bb4 15 239
R 0 1
Eb5 15 239
R 0 1
Bb5 15 239
R 0 1
A5 15 239
R 0 1
G5 15 239
R 0 1
Gb5 15 239
R 0 1
E5 15 962
R 0 238
D6 15 239
R 0 1
Db6 15 239
R 0 1
Bb5 15 239
R 0 1
A5 15 239
R 0 1
G5 15 239
R 0 1
Gb5 15 239
R 0 1
E5 15 239
R 0 1
A4 15 226
R 0 14
Gb5 15 239
R 0 1
D5 15 239
R 0 1
Gb5 15 239
R 0 1
A4 15 239
R 0 1
Gb5 15 239
R 0 1
D5 15 239
R 0 1
Gb5 15 239
R 0 1
Db5 15 239
R 0 1
E5 15 239
R 0 1
A4 15 239
R 0 1
E5 15 239
R 0 1
Bb4 15 239
R 0 1
E5 15 239
R 0 1
Db5 15 239
R 0 1
E5 15 239
R 0 1
Bb4 15 239
R 0 1
Gb5 15 239
R 0 1
D5 15 239
R 0 1
Gb5 15 239
R 0 1
Bb4 15 239
R 0 1
Gb5 15 239
R 0 1
D5 15 239
R 0 1
Gb5 15 239
R 0 1
Gb4 15 239
R 0 1
Db5 15 239
R 0 1
Gb4 15 239
R 0 1
Db5 15 239
R 0 1
Ab4 15 239
R 0 1
Db5 15 239
R 0 1
Db4 15 239
R 0 1
Db5 15 239
R 0 1
Bb4 15 239
R 0 1
G5 15 239
R 0 1
D5 15 239
R 0 1
G5 15 239
R 0 1
G4 15 239
R 0 1
G5 15 239
R 0 1
D5 15 239
R 0 1
G5 15 239
R 0 1
D5 15 239
R 0 1
A5 15 239
R 0 1
E5 15 239
R 0 1
A5 15 239
R 0 1
Eb5 15 239
R 0 1
Bb5 15 239
R 0 1
Bb4 15 239
R 0 1
Eb5 15 239
R 0 1
Bb5 15 239
R 0 1
A5 15 239
R 0 1
G5 15 239
R 0 1
Gb5 15 239
R 0 1
E5 15 962
R 0 238
D6 15 239
R 0 1
Db6 15 239
R 0 1
Bb5 15 239
R 0 1
A5 15 239
R 0 1
G5 15 239
R 0 1
Gb5 15 239
R 0 1
E5 15 239
CMD 0 0
;Total length 34559
