;Electric Guitar (jazz)
R 0 2304
F0 15 1152
Eb0 15 1152
Db0 15 1152
Eb0 15 958
R 0 2
Eb1 15 22
R 0 2
D1 15 22
R 0 2
Db1 15 22
R 0 2
C1 15 22
R 0 2
B0 15 22
R 0 2
Bb0 15 22
R 0 2
A0 15 22
R 0 2
Ab0 15 22
R 0 2
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
Ab0 15 96
A0 15 96
Bb0 15 96
B0 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
Eb0 15 96
Eb0 15 96
Eb0 15 96
Eb0 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
Ab0 15 96
A0 15 96
Bb0 15 96
B0 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
Eb0 15 96
Eb0 15 96
Eb0 15 96
Eb0 15 96
F1 15 96
F1 15 96
C2 15 192
B1 15 192
R 0 192
B1 15 192
Bb1 15 192
R 0 192
Bb1 15 192
A1 15 192
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
Ab0 15 96
A0 15 96
Bb0 15 96
B0 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
F1 15 96
F0 15 96
F0 15 96
Eb0 15 96
Eb0 15 96
Eb0 15 96
Eb0 15 96
F1 15 96
F1 15 96
C2 15 192
B1 15 192
R 0 192
B1 15 192
Bb1 15 192
R 0 192
Bb1 15 192
A1 15 192
R 0 192
A1 15 192
Ab1 15 192
F1 15 96
F1 15 96
R 0 96
F1 15 96
Ab1 15 96
F1 15 96
R 0 96
F1 15 96
Ab1 15 96
F1 15 96
Bb1 15 96
B1 15 96
Bb1 15 96
Ab1 15 96
F1 15 96
Eb1 15 96
F1 15 96
F1 15 96
R 0 96
F1 15 96
Ab1 15 96
G1 15 96
F1 15 96
R 0 864
F1 15 286
R 0 2
F2 15 190
R 0 2
C2 15 94
R 0 2
Bb1 15 94
R 0 2
Ab1 15 94
R 0 2
F1 15 286
R 0 2
F2 15 190
R 0 2
C2 15 94
R 0 2
Bb1 15 94
R 0 2
Db2 15 94
R 0 2
C2 15 286
R 0 2
G1 15 286
R 0 2
Bb1 15 190
R 0 2
Db2 15 286
R 0 2
Ab1 15 94
R 0 2
Eb2 15 94
R 0 2
Bb1 15 190
R 0 2
G1 15 94
R 0 2
F1 15 286
R 0 2
F2 15 190
R 0 2
C2 15 94
R 0 2
Bb1 15 94
R 0 2
Ab1 15 94
R 0 2
F1 15 286
R 0 2
F2 15 190
R 0 2
C2 15 94
R 0 2
Bb1 15 94
R 0 2
Db2 15 94
R 0 2
C2 15 286
R 0 2
G1 15 286
R 0 2
Bb1 15 190
R 0 2
Db2 15 286
R 0 2
Ab1 15 94
R 0 2
Eb2 15 94
R 0 2
Bb1 15 190
R 0 2
G1 15 94
R 0 2
C2 15 94
R 0 2
C2 15 94
R 0 2
