;Music Box
A3 15 240
A3 15 240
D4 15 480
A3 15 240
A3 15 240
Eb4 15 480
A3 15 240
A3 15 240
D4 15 480
A3 15 240
A3 15 240
Db4 15 480
A3 15 240
A3 15 240
D4 15 480
A3 15 240
A3 15 240
G4 15 480
A4 15 960
A3 15 960
F4 15 960
D3 15 960
A3 15 240
A3 15 240
D4 15 480
A3 15 240
A3 15 240
Eb4 15 480
A3 15 240
A3 15 240
F4 15 480
A3 15 240
A3 15 240
G4 15 480
Gb4 15 1920
D3 15 480
R 0 1440
B3 15 480
B3 15 480
R 0 480
G3 15 480
G3 15 480
G3 15 480
A3 15 480
F3 15 320
Gb3 15 160
B3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
F3 15 480
C3 15 240
F3 15 480
C3 15 240
F3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
F3 15 480
C3 15 240
F3 15 480
C3 15 240
F3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
B3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
F3 15 480
C3 15 240
F3 15 480
C3 15 240
F3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
F3 15 480
C3 15 240
F3 15 480
C3 15 240
F3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
A3 15 480
F3 15 240
A3 15 240
C4 15 240
Bb3 15 480
Bb3 15 480
Bb3 15 480
Bb3 15 480
F4 15 480
F4 15 480
G4 15 480
F4 15 480
E4 15 480
E4 15 480
E4 15 480
F4 15 480
G4 15 480
G4 15 480
G4 15 480
G4 15 480
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
C4 15 320
C4 15 320
Db4 15 320
D4 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
E4 15 320
E4 15 320
Db4 15 320
B3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
F3 15 480
C3 15 240
F3 15 480
C3 15 240
F3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
F3 15 480
C3 15 240
F3 15 480
C3 15 240
F3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
B3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
F3 15 480
C3 15 240
F3 15 480
C3 15 240
F3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
F3 15 480
C3 15 240
F3 15 480
C3 15 240
F3 15 480
G3 15 480
D3 15 240
G3 15 480
D3 15 240
G3 15 480
G3 15 480
D3 15 240
A3 15 480
F3 15 240
A3 15 240
C4 15 240
Bb3 15 480
Bb3 15 480
Bb3 15 480
Bb3 15 480
F4 15 480
F4 15 480
G4 15 480
F4 15 480
E4 15 480
E4 15 480
E4 15 480
F4 15 480
G4 15 480
G4 15 480
G4 15 480
G4 15 480
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
C4 15 320
C4 15 320
Db4 15 320
D4 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
E4 15 320
E4 15 320
F4 15 320
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
E4 15 320
E4 15 320
Db4 15 320
D4 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
D3 15 240
E4 15 320
E4 15 320
Db4 15 320
G3 15 1920
CMD 0 0
;Total length 122880

;Music Box
D4 15 240
D4 15 240
A4 15 480
D4 15 240
D4 15 240
Bb4 15 480
D4 15 240
D4 15 240
A4 15 480
D4 15 240
D4 15 240
Gb4 15 480
D4 15 240
D4 15 240
A4 15 480
D4 15 240
D4 15 240
Bb4 15 480
D5 15 960
D4 15 960
Bb4 15 960
C4 15 960
D4 15 240
D4 15 240
A4 15 480
D4 15 240
D4 15 240
Bb4 15 480
D4 15 240
D4 15 240
C5 15 480
D4 15 240
D4 15 240
Bb4 15 480
A4 15 1920
D6 15 480
R 0 800
G3 15 160
B3 15 160
D4 15 160
Gb4 15 160
G4 15 480
G4 15 480
R 0 240
G4 15 120
G4 15 120
G4 15 480
G4 15 480
G4 15 480
F4 15 160
F4 15 160
F4 15 160
F4 15 160
F4 15 160
Gb4 15 160
G4 15 720
B4 15 240
D5 15 960
C4 15 720
F4 15 240
F5 15 720
E5 15 120
Eb5 15 120
D5 15 960
F4 15 720
E4 15 120
Eb4 15 120
D4 15 960
C4 15 320
B3 15 320
C4 15 320
G4 15 720
B4 15 240
D5 15 960
C4 15 960
E4 15 320
D4 15 320
E4 15 320
B4 15 960
F4 15 320
E4 15 320
C4 15 320
D4 15 960
R 0 240
B3 15 240
C4 15 240
D4 15 240
G4 15 720
B4 15 240
D5 15 960
C4 15 720
F4 15 240
F5 15 720
E5 15 120
Eb5 15 120
D5 15 960
F4 15 720
E4 15 120
Eb4 15 120
D4 15 960
C4 15 320
B3 15 320
C4 15 320
G4 15 720
B4 15 240
D5 15 960
C4 15 960
F5 15 320
E5 15 320
F5 15 320
G5 15 720
Bb5 15 240
G5 15 1920
A5 15 960
Bb5 15 720
F5 15 240
F5 15 1920
Bb5 15 480
B5 15 480
C6 15 720
G5 15 240
G5 15 1920
C6 15 480
Db6 15 480
D6 15 240
R 0 120
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
C6 15 320
C6 15 320
Db6 15 320
D6 15 240
R 0 120
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
D5 15 360
D5 15 120
R 0 360
D5 15 120
C6 15 320
C6 15 320
B5 15 320
G4 15 720
B4 15 240
D5 15 960
C4 15 720
F4 15 240
F5 15 720
E5 15 120
Eb5 15 120
D5 15 960
F4 15 720
E4 15 120
Eb4 15 120
D4 15 960
C4 15 320
B3 15 320
C4 15 320
G4 15 720
B4 15 240
D5 15 960
C4 15 960
E4 15 320
D4 15 320
E4 15 320
B4 15 960
F4 15 320
E4 15 320
C4 15 320
D4 15 960
R 0 240
B3 15 240
C4 15 240
D4 15 240
G4 15 720
B4 15 240
D5 15 960
C4 15 720
F4 15 240
F5 15 720
E5 15 120
Eb5 15 120
D5 15 960
F4 15 720
E4 15 120
Eb4 15 120
D4 15 960
C4 15 320
B3 15 320
C4 15 320
G4 15 720
B4 15 240
D5 15 960
C4 15 960
F5 15 320
E5 15 320
F5 15 320
G5 15 720
Bb5 15 240
G5 15 1920
A5 15 960
Bb5 15 720
F5 15 240
F5 15 1920
Bb5 15 480
B5 15 480
C6 15 720
G5 15 240
G5 15 1920
C6 15 480
Db6 15 480
D6 15 240
R 0 120
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
C6 15 320
C6 15 320
Db6 15 320
D6 15 240
R 0 120
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
D5 15 360
D5 15 120
R 0 360
D5 15 120
C6 15 320
C6 15 320
Db6 15 320
D6 15 240
R 0 120
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
C6 15 320
C6 15 320
Db6 15 320
D6 15 240
R 0 120
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
R 0 360
D5 15 120
D5 15 360
D5 15 120
R 0 360
