;Acoustic Grand Piano
R 0 1920
D4 12 120
E4 12 120
Gb4 12 120
R 0 120
D4 11 120
R 0 120
Gb4 12 120
R 0 120
D4 12 120
E4 12 120
Gb4 12 120
R 0 120
D4 11 120
R 0 120
Gb4 12 120
R 0 120
D4 12 120
E4 12 120
Gb4 12 120
R 0 120
D4 11 120
R 0 120
G4 12 360
Gb4 12 120
E4 12 480
R 0 240
Db4 12 120
D4 12 120
E4 12 120
R 0 120
Db4 12 120
R 0 120
E4 12 120
R 0 120
Db4 12 120
D4 12 120
E4 12 120
R 0 120
Db4 12 120
R 0 120
E4 12 120
R 0 120
Db4 12 120
D4 12 120
E4 12 120
R 0 120
Db4 12 120
R 0 120
Gb4 12 360
E4 12 120
D4 12 480
R 0 240
D4 12 120
E4 12 120
Gb4 12 120
R 0 120
D4 11 120
R 0 120
Gb4 12 120
R 0 120
D4 12 120
E4 12 120
Gb4 12 120
R 0 120
D4 11 120
R 0 120
Gb4 12 120
R 0 120
D4 12 120
E4 12 120
Gb4 12 120
R 0 120
D4 11 120
R 0 120
G4 12 360
Gb4 12 120
E4 12 480
R 0 240
Db4 12 120
D4 12 120
E4 12 120
R 0 120
E4 12 120
R 0 120
Gb4 12 120
R 0 120
Db4 11 120
R 0 120
D4 12 120
R 0 120
A3 11 120
R 0 120
B3 12 120
R 0 120
A3 11 120
R 0 120
B4 12 360
R 0 120
E4 12 80
Gb4 12 80
E4 12 80
D4 12 80
R 0 40
E4 12 80
R 0 40
Gb4 12 480
R 0 240
Gb4 12 120
G4 12 120
A4 12 240
A2 10 240
D3 10 240
D4 12 240
D5 12 240
D3 10 240
G3 10 240
Db5 12 240
A4 12 240
A2 10 240
D3 10 240
Gb4 12 240
R 0 240
A2 10 240
Db3 10 240
Gb4 12 120
G4 12 120
A4 12 240
A2 10 240
D3 10 240
D4 12 240
D5 12 240
D3 10 240
G3 10 240
B3 10 240
A4 12 240
D5 12 240
Db3 10 240
E5 12 240
R 0 240
A2 10 240
D3 10 240
D4 12 120
E4 12 120
D2 10 120
Gb4 12 120
D4 12 120
E4 12 120
Db2 10 120
R 0 120
D4 12 120
E4 12 120
B1 10 120
Gb4 12 120
D4 12 120
E4 12 120
A1 10 120
R 0 120
D4 12 120
E4 12 120
Gb4 13 120
D4 12 120
D3 10 120
D3 10 120
A1 10 120
R 0 120
A2 10 120
Gb4 12 120
B1 10 120
R 0 120
B2 10 120
B2 10 120
A1 10 120
R 0 120
A2 10 120
D4 12 120
Db2 10 120
E4 12 120
Db4 12 120
D4 12 120
A1 10 120
R 0 120
Db4 12 120
D4 12 120
B1 10 120
E4 12 120
Db4 12 120
D4 12 120
A1 10 120
R 0 120
Db4 12 120
D4 12 120
Db2 10 120
A3 11 120
Db3 10 120
Db3 10 120
A1 10 120
E4 12 120
A2 10 120
A2 10 120
D4 12 120
R 0 120
A3 12 120
D3 10 120
A1 10 120
R 0 120
A2 10 120
A2 10 120
D2 10 120
Gb4 12 120
D4 12 120
E4 12 120
Db2 10 120
R 0 120
D4 12 120
E4 12 120
B1 10 120
Gb4 12 120
D4 12 120
E4 12 120
A1 10 120
R 0 120
D4 12 120
E4 12 120
Gb4 13 120
D4 12 120
D3 10 120
D3 10 120
A1 10 120
R 0 120
A2 10 120
Gb4 12 120
B1 10 120
R 0 120
B2 10 120
B2 10 120
A1 10 120
R 0 120
A2 10 120
D4 12 120
E4 12 120
A3 11 120
G4 12 120
A3 11 120
Gb4 12 120
A3 11 120
E4 12 120
A3 11 120
D4 12 120
B3 11 120
Db4 12 120
B2 10 120
B3 12 120
A3 11 120
Db4 12 120
A2 10 120
A1 10 120
R 0 120
A2 10 120
A2 10 120
E4 11 80
Gb4 11 80
E4 11 80
A2 10 120
E4 11 120
D4 11 120
R 0 120
D3 10 120
D3 10 120
D2 10 120
R 0 120
Gb4 11 120
G4 11 120
A4 13 120
D4 11 120
A4 13 120
D4 11 120
Gb4 13 120
A3 11 120
D4 13 120
Gb3 11 120
D5 13 120
G4 11 120
Db5 13 120
G4 11 120
B4 13 120
D4 11 120
Db5 13 120
D4 11 120
A4 13 120
A3 11 120
Gb4 13 120
A3 11 120
D4 13 120
D4 11 120
Gb4 13 120
D4 11 120
A1 10 120
A3 11 120
A2 10 120
A3 11 120
Db4 11 120
A3 11 120
Gb4 13 120
G4 13 120
A4 13 120
D4 11 120
A4 13 120
D4 11 120
Gb4 13 120
A3 11 120
D4 13 120
Gb3 11 120
D5 13 120
G4 11 120
Db5 13 120
G4 11 120
B4 13 120
D4 11 120
G4 13 120
G3 11 120
A4 13 120
Db4 11 120
D5 13 120
Db4 11 120
Db5 13 120
Db4 11 120
E5 13 120
A4 11 120
D2 10 120
A4 11 120
D3 10 120
D4 11 120
A3 11 120
Gb3 11 120
D4 13 120
E4 13 120
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 13 80
R 0 80
E4 13 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 13 80
R 0 80
E4 13 80
R 0 80
Gb4 13 80
R 0 80
Gb4 13 80
R 0 80
Gb4 13 80
R 0 80
G4 13 80
R 0 80
G4 13 80
R 0 80
Gb4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
Db4 13 80
R 0 80
Db4 13 80
R 0 80
D4 13 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
A3 12 80
R 0 80
A3 12 80
R 0 80
B3 12 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
A3 12 80
R 0 80
A3 12 80
R 0 80
B3 12 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
A3 12 80
R 0 80
A3 12 80
R 0 80
Gb3 12 80
R 0 80
D4 12 80
R 0 80
D4 13 80
R 0 80
E4 13 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 13 80
R 0 80
E4 13 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 13 80
R 0 80
E4 13 80
R 0 80
Gb4 13 80
R 0 80
Gb4 13 80
R 0 80
Gb4 13 80
R 0 80
G4 13 80
R 0 80
G4 13 80
R 0 80
Gb4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
Db4 13 80
R 0 80
Db4 13 80
R 0 80
D4 13 80
R 0 80
Db4 12 80
R 0 80
Db4 12 80
R 0 80
E4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
Db4 12 80
R 0 80
B3 12 80
R 0 80
B3 12 80
R 0 80
A3 12 80
R 0 80
G3 12 80
R 0 80
G3 12 80
R 0 80
A3 12 80
R 0 80
B4 13 80
R 0 80
B4 13 80
R 0 80
B4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
D4 12 80
R 0 80
E4 12 80
R 0 80
A4 13 80
R 0 80
A4 13 80
R 0 80
A4 13 80
R 0 80
Gb4 13 80
R 0 80
Gb4 13 80
R 0 80
D4 13 80
R 0 80
D5 13 80
R 0 80
D5 13 80
R 0 80
Db5 13 80
R 0 80
B4 13 80
R 0 80
B4 13 80
R 0 80
Db5 13 80
R 0 80
A4 13 80
R 0 80
A4 13 80
R 0 80
Gb4 13 80
R 0 80
D4 13 80
R 0 80
D4 13 80
R 0 80
Gb4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
E4 13 80
R 0 80
Gb4 13 80
R 0 80
G4 13 80
R 0 80
A4 13 80
R 0 80
A4 13 80
R 0 80
A4 13 80
R 0 80
Gb4 13 80
R 0 80
Gb4 13 80
R 0 80
D4 13 80
R 0 80
D5 13 80
R 0 80
D5 13 80
R 0 80
Db5 13 80
R 0 80
B4 13 80
R 0 80
B4 13 80
R 0 80
G4 13 80
R 0 80
A4 13 80
R 0 80
A4 13 80
R 0 80
D5 13 80
R 0 80
Db5 13 80
R 0 80
D5 13 80
R 0 80
E5 13 80
R 0 80
D1 11 160
Gb2 9 160
A2 9 160
D3 9 160
R 0 80
D4 12 120
E4 12 120
D4 12 120
R 0 120
Gb4 13 120
R 0 120
Gb4 13 120
R 0 120
